molid,scaffid
CID044525921,39
CID044525920,51
CID044525923,51
CID044525922,149
CID044526069,114
CID044526068,114
CID025263108,10
CID025263102,10
CID025263100,81
CID025263105,5
CID006538884,85
CID044532712,142
CID010158539,18
CID009888013,108
CID044305812,1
CID009945696,75
CID009926791,86
CID044527001,145
CID006539566,63
CID044525931,149
CID053469824,113
CID011558948,28
CID006539569,63
CID010287409,42
CID000000007,1
CID011716589,28
CID025263084,10
CID044525928,24
CID051354036,137
CID009861063,28
CID044532978,150
CID011682470,28
CID070691776,160
CID011626560,135
CID071451677,152
CID011712734,75
CID053469453,148
CID044525961,98
CID044525960,98
CID044525963,132
CID044525962,55
CID044525965,52
CID044525964,62
CID044528946,105
CID044525966,23
CID044525969,15
CID044525968,23
CID011224168,65
CID044592364,37
CID051354327,163
CID005329477,53
CID051354328,115
CID006539565,63
CID044529112,105
CID044529114,105
CID000156422,45
CID049862783,84
CID044591552,43
CID006539588,74
CID045269578,48
CID053466728,148
CID009903786,44
CID006539587,74
CID005329481,76
CID006539582,83
CID006539480,130
CID044479934,29
CID057345685,160
CID044397393,16
CID025263079,10
CID066561090,148
CID044305910,71
CID044336144,78
CID009836051,75
CID009836050,75
CID044269265,78
CID011715767,116
CID051357696,137
CID024803957,92
CID000309461,68
CID011524582,77
CID025033539,123
CID044536075,153
CID044532450,35
CID011793277,78
CID024804781,92
CID044578630,138
CID006539426,155
CID044397687,68
CID000221158,1
CID010135552,143
CID006539572,63
CID021078798,36
CID045481463,124
CID006450551,101
CID044578709,138
CID010452739,21
CID057396626,160
CID057396627,160
CID057396625,46
CID053322416,85
CID024804298,92
CID006539470,130
CID056673516,94
CID022049997,13
CID045270417,111
CID053467178,148
CID044525943,149
CID009923028,75
CID044525958,149
CID044525959,70
CID044525950,39
CID044525951,149
CID044525952,80
CID044525953,19
CID044525954,149
CID044525955,149
CID044525956,51
CID044525957,38
CID025093464,143
CID024803300,162
CID024803301,121
CID044305647,1
CID024802788,37
CID011959683,125
CID010310395,40
CID011133737,27
CID001491157,82
CID017754438,30
CID024803786,128
CID024803787,162
CID046886665,16
CID044571415,129
CID005311382,34
CID000227502,71
CID006539615,96
CID006539610,74
CID053467392,148
CID006539613,3
CID000599038,16
CID022112846,118
CID018536633,108
CID010267580,48
CID006539571,63
CID011373846,50
CID011594774,28
CID051356289,85
CID006539579,63
CID006539578,63
CID006539472,130
CID006539473,130
CID070685440,160
CID006539475,130
CID070685442,160
CID006539477,130
CID009865518,78
CID049862644,156
CID024802961,17
CID056673950,134
