coding_CID coding_FDR as_CID as_FDR
57398153 0.91304347826087 57398144 0.883333333333333
57391095 0.913669064748201 57391091 0.884172661870504
6539099 0.914285714285714 57403316 0.885
6539097 0.914893617021277 57398146 0.885815602836879
57399801 0.915492957746479 57394599 0.886619718309859
56604024 0.916083916083916 56604030 0.887412587412587
56603997 0.916666666666667 57399798 0.888194444444444
9947709 0.917241379310345 57398147 0.888965517241379
56604000 0.917808219178082 57396350 0.88972602739726
10272700 0.918367346938776 57401572 0.89047619047619
56603987 0.918918918918919 57396351 0.891216216216216
57403320 0.919463087248322 57396352 0.891946308724832
57399802 0.92 57391092 0.892666666666667
57391097 0.920529801324503 57399799 0.893377483443709
56603973 0.921052631578947 57403317 0.894078947368421
56604049 0.92156862745098 56603966 0.894771241830065
57398154 0.922077922077922 57401573 0.895454545454546
57399803 0.92258064516129 57394600 0.896129032258065
57399804 0.923076923076923 57403318 0.896794871794872
57399805 0.923566878980892 57401574 0.897452229299363
57401575 0.924050632911392 57392873 0.898101265822785
44397710 0.924528301886792 57398149 0.89874213836478
5329868 0.925 57398150 0.899375
5329849 0.925465838509317 57398151 0.9
5329850 0.925925925925926 57394601 0.900617283950617
5329801 0.926380368098159 57391093 0.901226993865031
9901964 0.926829268292683 57398152 0.901829268292683
9604915 0.927272727272727 57394602 0.902424242424242
11604319 0.927710843373494 56603975 0.903012048192771
11627264 0.92814371257485 57399800 0.903592814371257
11656050 0.928571428571429 57391094 0.904166666666667
11669455 0.928994082840237 57403319 0.904733727810651
9604912 0.929411764705882 57398153 0.905294117647059
70682205 0.929824561403509 57391095 0.905847953216374
70696859 0.930232558139535 6539099 0.906395348837209
11717091 0.930635838150289 6539097 0.906936416184971
11605761 0.931034482758621 57399801 0.907471264367816
44410704 0.931428571428571 56604024 0.908
10294883 0.931818181818182 56603997 0.908522727272727
9917474 0.932203389830508 9947709 0.909039548022599
21951965 0.932584269662921 56604000 0.909550561797753
22609796 0.932960893854749 10272700 0.910055865921788
44418540 0.933333333333333 56603987 0.910555555555556
11453116 0.933701657458563 57403320 0.911049723756906
44418539 0.934065934065934 57399802 0.911538461538462
44418572 0.934426229508197 57391097 0.912021857923497
44418555 0.934782608695652 56603973 0.9125
44418556 0.935135135135135 56604049 0.912972972972973
44418532 0.935483870967742 57398154 0.913440860215054
44418533 0.935828877005348 57399803 0.913903743315508
16099859 0.936170212765957 57399804 0.91436170212766
11957417 0.936507936507937 57399805 0.914814814814815
25190921 0.936842105263158 57401575 0.915263157894737
16048194 0.93717277486911 44397710 0.915706806282722
16048415 0.9375 5329849 0.916145833333333
25190924 0.937823834196891 5329850 0.916580310880829
16048303 0.938144329896907 5329801 0.91701030927835
16664858 0.938461538461538 9901964 0.917435897435897
766949 0.938775510204082 9604915 0.917857142857143
44431824 0.939086294416244 11604319 0.918274111675127
766948 0.939393939393939 11627264 0.918686868686869
9927432 0.939698492462312 11656050 0.919095477386935
24180608 0.94 11669455 0.9195
44433173 0.940298507462687 70682205 0.919900497512438
11281930 0.940594059405941 70696859 0.92029702970297
10160775 0.940886699507389 11717091 0.920689655172414
10113568 0.941176470588235 11605761 0.921078431372549
24896610 0.941463414634146 44410704 0.921463414634146
25093474 0.941747572815534 10294883 0.921844660194175
6539584 0.942028985507246 9917474 0.922222222222222
6539603 0.942307692307692 21951965 0.922596153846154
11617559 0.942583732057416 22609796 0.922966507177033
44418547 0.942857142857143 44418540 0.923333333333333
453216 0.943127962085308 44418539 0.923696682464455
9951300 0.943396226415094 44418572 0.924056603773585
25190926 0.943661971830986 44418555 0.924413145539906
9910722 0.94392523364486 44418556 0.924766355140187
6539049 0.944186046511628 44418532 0.925116279069767
10158653 0.944444444444444 44418533 0.925462962962963
6539047 0.944700460829493 16099859 0.925806451612903
10200651 0.944954128440367 25190921 0.926146788990826
6539056 0.945205479452055 16048194 0.92648401826484
6539093 0.945454545454545 16048415 0.926818181818182
5793317 0.945701357466063 25190924 0.927149321266968
6539086 0.945945945945946 16048303 0.927477477477477
6539085 0.946188340807175 16664858 0.92780269058296
6539087 0.946428571428571 766949 0.928125
6539075 0.946666666666667 44431824 0.928444444444444
15872403 0.946902654867257 766948 0.928761061946903
9800117 0.947136563876652 24180608 0.929074889867841
18536627 0.947368421052632 44433173 0.929385964912281
18536613 0.947598253275109 11281930 0.929694323144105
5329855 0.947826086956522 10160775 0.93
15872407 0.948051948051948 10113568 0.93030303030303
9890357 0.948275862068966 24896610 0.930603448275862
15872388 0.948497854077253 25093474 0.930901287553648
9604958 0.948717948717949 6539574 0.931196581196581
6603857 0.948936170212766 6539584 0.931489361702128
9604940 0.949152542372881 6539603 0.931779661016949
9604911 0.949367088607595 11617559 0.932067510548523
5329404 0.949579831932773 44418547 0.932352941176471
17892742 0.949790794979079 453216 0.932635983263598
44329036 0.95 9951300 0.932916666666667
6539451 0.950207468879668 25190926 0.933195020746888
6539522 0.950413223140496 9910722 0.933471074380165
6539487 0.950617283950617 10158653 0.933744855967078
6539364 0.950819672131147 10200651 0.934016393442623
11290221 0.951020408163265 6539093 0.934285714285714
6539369 0.951219512195122 15872403 0.934552845528455
6539422 0.951417004048583 9800117 0.934817813765182
44397147 0.951612903225806 18536627 0.93508064516129
6539385 0.951807228915663 18536613 0.935341365461847
599038 0.952 5329855 0.9356
6539409 0.952191235059761 15872407 0.935856573705179
11473228 0.952380952380952 9890357 0.936111111111111
5329875 0.952569169960474 15872388 0.936363636363636
5329802 0.952755905511811 9604958 0.936614173228347
44418545 0.952941176470588 6603857 0.936862745098039
11247002 0.953125 9604940 0.937109375
11502866 0.953307392996109 5329404 0.937354085603113
11640889 0.953488372093023 17892742 0.937596899224806
9858084 0.953667953667954 44329036 0.937837837837838
11233873 0.953846153846154 6539451 0.938076923076923
9873849 0.954022988505747 6539522 0.938314176245211
44418546 0.954198473282443 11290221 0.938549618320611
23646936 0.954372623574145 6539422 0.938783269961977
579429 0.954545454545455 44397147 0.939015151515151
44433171 0.954716981132075 599038 0.939245283018868
10295475 0.954887218045113 6539409 0.939473684210526
6539593 0.955056179775281 11473228 0.939700374531835
6539046 0.955223880597015 5329875 0.939925373134328
6539598 0.955390334572491 5329802 0.940148698884758
6539611 0.955555555555556 44418545 0.94037037037037
6539567 0.955719557195572 11502866 0.940590405904059
6539089 0.955882352941177 11640889 0.940808823529412
15872406 0.956043956043956 9858084 0.941025641025641
15872409 0.956204379562044 11233873 0.941240875912409
6539607 0.956363636363636 9873849 0.941454545454545
10236195 0.956521739130435 44418546 0.941666666666667
6539412 0.956678700361011 23646936 0.941877256317689
10321190 0.956834532374101 579429 0.942086330935252
6539430 0.956989247311828 44433171 0.942293906810036
11269477 0.957142857142857 10295475 0.9425
9604970 0.95729537366548 6539593 0.94270462633452
5329854 0.957446808510638 6539598 0.94290780141844
10286242 0.957597173144876 6539611 0.943109540636042
25218621 0.957746478873239 6539567 0.94330985915493
25210971 0.957894736842105 15872406 0.943508771929825
44581222 0.958041958041958 15872409 0.943706293706294
44581765 0.958188153310105 6539607 0.94390243902439
25263274 0.958333333333333 10236195 0.944097222222222
25218573 0.958477508650519 6539412 0.944290657439446
25263114 0.958620689655172 10321190 0.94448275862069
25263110 0.958762886597938 6539430 0.9446735395189
25263099 0.958904109589041 9604970 0.94486301369863
44571414 0.959044368600683 5329854 0.945051194539249
44571449 0.959183673469388 10286242 0.945238095238095
24856364 0.959322033898305 44581222 0.945423728813559
44578672 0.959459459459459 25263274 0.945608108108108
44593640 0.95959595959596 25218573 0.945791245791246
44578253 0.959731543624161 25263114 0.945973154362416
44578254 0.959866220735786 25263110 0.946153846153846
44578563 0.96 25263099 0.946333333333333
9822610 0.960132890365448 44571414 0.946511627906977
25263087 0.960264900662252 44571449 0.946688741721854
25263103 0.96039603960396 24856364 0.946864686468647
25263088 0.960526315789474 44578672 0.94703947368421
25263116 0.960655737704918 44593640 0.947213114754098
42618163 0.96078431372549 44578253 0.947385620915033
42618164 0.960912052117264 44578254 0.947557003257329
11569498 0.961038961038961 44578563 0.947727272727273
9857146 0.961165048543689 9822610 0.94789644012945
44589696 0.961290322580645 25263087 0.948064516129032
25263118 0.961414790996785 25263088 0.948231511254019
