coding_CID coding_FDR as_CID as_FDR
CID006539519 0.878378378378378 CID023133388 0.922972972972973
CID006539416 0.879194630872483 CID044305910 0.923489932885906
CID006539591 0.88 CID000156414 0.924
CID051354901 0.880794701986755 CID044578566 0.924503311258278
CID006539566 0.881578947368421 CID009836050 0.925
CID011514099 0.882352941176471 CID044526073 0.925490196078431
CID044525932 0.883116883116883 CID045269578 0.925974025974026
CID051354328 0.883870967741936 CID066561010 0.926451612903226
CID000099545 0.884615384615385 CID006539606 0.926923076923077
CID006539507 0.885350318471338 CID053322416 0.927388535031847
CID044526068 0.886075949367089 CID006539572 0.927848101265823
CID044525931 0.886792452830189 CID060150509 0.928301886792453
CID025263105 0.8875 CID010086873 0.92875
CID044532683 0.888198757763975 CID044578630 0.929192546583851
CID044525948 0.888888888888889 CID044525940 0.92962962962963
CID056673950 0.889570552147239 CID006539455 0.930061349693251
CID044525956 0.890243902439024 CID011427162 0.930487804878049
CID044525923 0.890909090909091 CID010161259 0.930909090909091
CID044525961 0.891566265060241 CID044526071 0.931325301204819
CID000005228 0.892215568862275 CID044525924 0.931736526946108
CID044525934 0.892857142857143 CID057396626 0.932142857142857
CID053469448 0.893491124260355 CID010639924 0.932544378698225
CID053245731 0.894117647058824 CID006539571 0.932941176470588
CID057401865 0.894736842105263 CID044527361 0.933333333333333
CID006539452 0.895348837209302 CID009865518 0.933720930232558
CID009861063 0.895953757225433 CID044525957 0.934104046242775
CID024949702 0.896551724137931 CID044525958 0.93448275862069
CID044328970 0.897142857142857 CID044525921 0.934857142857143
CID044528968 0.897727272727273 CID022112846 0.935227272727273
CID045270417 0.898305084745763 CID006539398 0.935593220338983
CID044525945 0.898876404494382 CID053469449 0.935955056179775
CID070685440 0.899441340782123 CID044527657 0.936312849162011
CID045272982 0.9 CID006539467 0.936666666666667
CID045481463 0.900552486187845 CID045272980 0.937016574585635
CID044525955 0.901098901098901 CID044532720 0.937362637362637
CID011595752 0.901639344262295 CID006539613 0.937704918032787
CID006263849 0.902173913043478 CID009958299 0.93804347826087
CID006539550 0.902702702702703 CID044525953 0.938378378378378
CID044532432 0.903225806451613 CID044532478 0.938709677419355
CID070683338 0.903743315508021 CID009945516 0.93903743315508
CID006539376 0.904255319148936 CID011133737 0.93936170212766
CID006539427 0.904761904761905 CID006539498 0.93968253968254
CID044525972 0.905263157894737 CID006539465 0.94
CID017917696 0.905759162303665 CID056670156 0.940314136125654
CID057403579 0.90625 CID053317178 0.940625
CID024803301 0.906735751295337 CID066561090 0.940932642487047
CID006539582 0.907216494845361 CID011529890 0.941237113402062
CID044525966 0.907692307692308 CID006539426 0.941538461538462
CID044526076 0.908163265306122 CID044529278 0.941836734693878
CID057398392 0.908629441624365 CID024804298 0.942131979695431
CID000227502 0.909090909090909 CID044532690 0.942424242424242
CID056680318 0.909547738693467 CID044525951 0.942713567839196
CID022185475 0.91 CID044529262 0.943
CID011057468 0.91044776119403 CID011224168 0.943283582089552
CID006538884 0.910891089108911 CID044279444 0.943564356435644
CID044525968 0.911330049261084 CID044525965 0.94384236453202
CID006539525 0.911764705882353 CID006539512 0.944117647058824
CID044269265 0.91219512195122 CID044525922 0.944390243902439
CID046215644 0.912621359223301 CID006539475 0.944660194174757
CID044532102 0.91304347826087 CID044525942 0.944927536231884
CID006539509 0.913461538461538 CID044532477 0.945192307692308
CID044525929 0.913875598086124 CID044397393 0.945454545454545
CID044532450 0.914285714285714 CID009901062 0.945714285714286
CID018536646 0.914691943127962 CID044525967 0.945971563981043
CID017755746 0.915094339622642 CID044525964 0.94622641509434
CID006539394 0.915492957746479 CID044571415 0.946478873239437
CID011682470 0.91588785046729 CID044525935 0.946728971962617
CID018536633 0.916279069767442 CID044525954 0.946976744186046
CID044526075 0.916666666666667 CID044532446 0.947222222222222
CID011682680 0.91705069124424 CID071451677 0.947465437788018
CID057403576 0.917431192660551 CID044591845 0.947706422018349
CID044527603 0.917808219178082 CID044525930 0.947945205479452
CID044525933 0.918181818181818 CID044525949 0.948181818181818
CID045271247 0.918552036199095 CID044525920 0.94841628959276
CID044525925 0.918918918918919 CID044525941 0.948648648648649
CID009925372 0.919282511210762 CID005329477 0.948878923766816
CID006539523 0.919642857142857 CID009879605 0.949107142857143
