"coding_CID" "coding_FDR" "as_CID" "as_FDR"
"135" 57395317 0.885185185185185 9922527 0.902469135802469
"136" 57395310 0.886029411764706 6539751 0.903186274509804
"137" 57398144 0.886861313868613 6539382 0.903892944038929
"138" 57398145 0.88768115942029 449054 0.904589371980676
"139" 57391091 0.888489208633094 44397010 0.905275779376499
"140" 57403316 0.889285714285714 6539418 0.905952380952381
"141" 57398146 0.890070921985816 44397250 0.90661938534279
"142" 57394599 0.890845070422535 44397201 0.907276995305164
"143" 56604030 0.891608391608392 11680113 0.907925407925408
"144" 57399798 0.892361111111111 5034 0.908564814814815
"145" 57398147 0.893103448275862 10215776 0.909195402298851
"146" 57396350 0.893835616438356 44396990 0.909817351598174
"147" 57401572 0.894557823129252 6539439 0.910430839002268
"148" 57396351 0.89527027027027 44397453 0.911036036036036
"149" 57396352 0.895973154362416 6539390 0.911633109619687
"150" 57391092 0.896666666666667 6539417 0.912222222222222
"151" 57399799 0.897350993377483 6539413 0.91280353200883
"152" 57403317 0.898026315789474 44397032 0.913377192982456
"153" 56603966 0.898692810457516 5329831 0.913943355119826
"154" 57401573 0.899350649350649 6539397 0.914502164502164
"155" 57394600 0.9 57400544 0.91505376344086
"156" 57403318 0.900641025641026 16236469 0.915598290598291
"157" 57392873 0.901273885350318 57400541 0.916135881104034
"158" 57398149 0.901898734177215 57400545 0.916666666666667
"159" 57396353 0.90251572327044 57398861 0.917190775681342
"160" 57398150 0.903125 56603980 0.917708333333333
"161" 57391093 0.903726708074534 57391875 0.918219461697723
"162" 57394602 0.904320987654321 57393604 0.918724279835391
"163" 6539099 0.904907975460123 57400542 0.919222903885481
"164" 6539097 0.905487804878049 57398867 0.919715447154472
"165" 57399801 0.906060606060606 57398866 0.92020202020202
"166" 56604024 0.906626506024096 57395317 0.920682730923695
"167" 56603997 0.907185628742515 57395310 0.921157684630739
"168" 9947709 0.907738095238095 57398144 0.921626984126984
"169" 56604000 0.908284023668639 57391091 0.922090729783038
"170" 10272700 0.908823529411765 57403316 0.922549019607843
"171" 56603987 0.909356725146199 57398146 0.923001949317739
"172" 57403320 0.909883720930233 57394599 0.923449612403101
"173" 57399802 0.910404624277457 56604030 0.923892100192678
"174" 57399803 0.910919540229885 57399798 0.924329501915709
"175" 57399804 0.911428571428571 57398147 0.924761904761905
"176" 57399805 0.911931818181818 57396351 0.925189393939394
"177" 57401575 0.912429378531073 57396352 0.925612052730697
"178" 44397710 0.912921348314607 57391092 0.926029962546816
"179" 5329868 0.91340782122905 57399799 0.926443202979516
"180" 5329849 0.913888888888889 56603966 0.926851851851852
"181" 5329850 0.914364640883978 57401573 0.927255985267035
"182" 5329801 0.914835164835165 57394600 0.927655677655678
"183" 9901964 0.915300546448087 57403318 0.928051001821494
"184" 9604915 0.915760869565217 57398149 0.928442028985507
"185" 11604319 0.916216216216216 57396353 0.928828828828829
"186" 11627264 0.916666666666667 57398150 0.92921146953405
"187" 11656050 0.917112299465241 57391093 0.929590017825312
"188" 11669455 0.917553191489362 57394602 0.929964539007092
"189" 9604912 0.917989417989418 6539099 0.930335097001764
"190" 70682205 0.918421052631579 6539097 0.930701754385965
