molid,AS
57391875,0.4
57392873,0.901408451
57393604,0.877192982
57394599,0.888888889
57394600,0.898550725
57394601,0.904109589
57394602,0.906040268
57395310,0.884297521
57395317,0.882352941
57396350,0.892307692
57396351,0.893939394
57396352,0.894736842
57396353,0.902777778
57398144,0.885245902
57398145,0.886178862
57398146,0.2
57398147,0.891472868
57398148,0.90070922
57398149,0.902097902
57398150,0.2
57398151,0.903448276
57398152,0.905405405
57398153,0.909090909
57398154,0.917647059
57398861,0.875
57398866,0.88034188
57398867,0.879310345
57399798,0.890625
57399799,0.896296296
57399800,0.907284768
57399801,0.911392405
57399802,0.915662651
57399803,0.918128655
57399804,0.918604651
57399805,0.919075145
57400541,0.872727273
57400542,0.87826087
57400544,0.87037037
57400545,0.873873874
57401572,0.893129771
57401573,0.897810219
57401574,0.9
57401575,0.91954023
57403316,0.888
57403317,0.897058824
57403318,0.899280576
57403319,0.908496732
57403320,0.915151515
70682205,0.92513369
70696859,0.925531915
