molid,CS
CID051355190,0.6875
CID051356289,0.948948949
CID051356852,0.858333333
CID051356853,0.768421053
CID051356854,0.943333333
CID051356855,0.883561644
CID051356856,0.898809524
CID051357138,0.888157895
CID051357696,0.956852792
CID051357954,0.955613577
CID053245731,0.917874396
CID053317178,0.88028169
CID053322416,0.836538462
CID053466728,0.906077348
CID053466951,0.779220779
CID053467178,0.939501779
CID053467392,informer
CID053467617,0.956072351
CID053469448,0.747058824
CID053469449,0.8671875
CID053469453,0.761702128
CID053469634,0.956298201
CID053469824,0.948170732
CID056670156,informer
CID056673516,informer
CID056673950,0.916256158
CID056680318,0.925764192
CID056683489,0.955263158
CID057345685,0.951008646
CID057391365,0.957070707
CID057394915,0.694117647
CID057396625,0.952908587
CID057396626,0.852173913
CID057396627,0.766666667
CID057398391,0.946708464
CID057398392,0.925110132
CID057400063,0.956962025
CID057401865,0.918269231
CID057401867,0.944444444
CID057403576,0.930327869
CID057403579,0.923766816
CID060150509,0.838095238
CID066561010,0.831683168
CID066561013,0.955729167
CID066561090,0.881118881
CID070683337,0.62
CID070683338,0.753846154
CID070685440,0.751351351
CID070685442,0.951149425
CID070691776,0.773134328
CID071451677,0.901162791
