molid,CS
CID044525928,0.936619718309859
CID044525946,0.936842105263158
CID057401867,0.937062937062937
CID010186182,0.9372822299651568
CID044525973,0.0
CID044527001,0.9375
CID006539496,0.937716262975779
CID011373846,0.0
CID044306199,0.0
CID044529112,0.937931034482759
CID057396627,0.9381443298969068
CID046214650,0.938356164383562
CID006539504,0.0
CID044525944,0.938566552901024
CID049862644,0.0
CID049798353,0.938775510204082
CID011712734,0.938983050847458
CID002409198,0.939189189189189
CID000156422,0.9393939393939392
CID057398391,0.939597315436242
CID044336137,0.9397993311036792
CID006539428,0.94
CID044526072,0.940199335548173
CID005329481,0.9403973509933778
CID044532978,0.9405940594059408
CID000253268,0.940789473684211
CID044525971,0.9409836065573772
CID006539615,0.941176470588235
CID044305551,0.941368078175896
CID053469824,0.941558441558442
CID044305879,0.941747572815534
CID025190914,0.941935483870968
CID006539481,0.0
CID051356853,0.942122186495177
CID044525938,0.942307692307692
CID010186009,0.942492012779553
CID015872399,0.942675159235669
CID044532997,0.942857142857143
CID051356289,0.943037974683544
CID011793277,0.943217665615142
CID006539579,0.943396226415094
CID010028480,0.9435736677115992
CID044526074,0.94375
CID044305647,0.94392523364486
CID044525947,0.944099378881988
CID006539569,0.944272445820433
CID044535870,0.944444444444444
CID044397192,0.944615384615385
CID044525950,0.94478527607362
CID044526078,0.9449541284403672
CID044526685,0.945121951219512
CID006539492,0.945288753799392
CID021078798,0.945454545454545
CID046215814,0.945619335347432
CID006539524,0.94578313253012
CID044397011,0.945945945945946
CID044305594,0.946107784431138
CID006539529,0.946268656716418
CID044592502,informer
CID010310395,informer
CID057345685,0.9464285714285708
CID049862783,0.9465875370919878
CID070685442,0.946745562130177
CID000667570,0.946902654867257
CID006539609,0.947058823529412
CID009888013,0.947214076246334
CID010158539,0.947368421052632
CID044525943,0.947521865889213
CID010621826,0.947674418604651
CID015521230,0.947826086956522
CID044591552,0.9479768786127172
CID044532480,0.9481268011527378
CID011197671,0.948275862068966
CID000838889,0.948424068767908
CID045480848,0.9485714285714292
CID044529114,informer
CID010183216,0.9487179487179492
CID070691776,0.948863636363636
CID024804299,0.0
CID009945696,0.9490084985835692
CID057396625,0.949152542372881
CID044532433,0.9492957746478872
CID015838857,0.9494382022471908
CID044526077,0.949579831932773
CID011495551,0.9497206703910608
CID011558948,0.9498607242339828
CID025263100,0.95
CID023648887,0.950138504155125
CID010151417,informer
CID006539588,0.950276243093923
CID006539470,0.950413223140496
CID044526922,0.950549450549451
CID044532712,0.9506849315068492
CID005311382,informer
CID046886665,0.9508196721311468
CID023648920,0.950953678474114
CID042618144,0.951086956521739
CID006539463,0.951219512195122
CID024803787,0.951351351351351
CID006539528,0.9514824797843672
CID024803786,0.951612903225806
CID011633551,0.951742627345844
CID044397230,0.9518716577540112
CID010135552,0.0
CID045271244,0.952
CID045271243,0.952127659574468
CID056683489,0.952254641909814
CID010757558,0.952380952380952
CID044532531,0.952506596306069
CID000129723,0.952631578947368
CID005329841,informer
CID051357954,0.9527559055118108
CID066561013,0.952879581151832
