molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw,RS,CS,AS
16051023,0.849462365591,234,-0.25521620862215,0.885714285714,193,-0.48484782752223,-42.7925,0.760683761,0.827160494
16099859,0.851063829787,233,-0.25662863513166,0.843137254902,216,-0.518249203744399,-4.5625,0.597222222,0.2
16219401,0.791044776119,98,-0.30440928842887,0.786666666667,40,-0.719463825567699,-57.66125,0.85989011,0.72
16236469,0.950617283951,349,-0.0882230664409699,0.920454545454999,332,-0.32563463295958,-7.2075,0.906934307,0.871559633
16664858,0.894117647059,325,-0.18806871539463,0.844444444444,222,-0.521841035044969,-6.54375,0.942567568,0.93236715
17892742,0.789473684211,84,-0.36398219913286,0.740740740741,87,-0.728611193032979,-21.73125,0.823076923,0.60625
18536613,0.779220779221,70,-0.32581319235109,0.869565217390999,297,-0.44700879130815,-7.5075,0.949404762,0.941176471
18536627,0.789473684211,86,-0.320195130649047,0.866666666667,294,-0.448780887872059,-2.88,0.818548387,0.578571429
21701565,0.75,45,-0.33478351009109,0.860759493671,103,-0.571485448153379,-82.285,0.913265306,0.883333333
21951965,0.808510638298,113,-0.28363111509832,0.87037037037,127,-0.546887878216279,-4.005,0.938701923,0.92746114
22464113,0.802816901408,122,-0.30369814330793,0.869047619048,293,-0.515648713794129,-19.57625,0.963467049,0.959885387
22464120,0.814285714285999,136,-0.290794915428059,0.865853658537,277,-0.510100150028379,-20.755,0.78442029,0.504761905
22609796,0.760563380282,47,-0.36696715188733,0.860465116279,101,-0.55047514996523,-2.1125,0.938995215,0.927835052
22727427,0.802631578947,93,-0.299383643579559,0.83908045977,85,-0.607308120074679,-16.95,0.962936047,0.959064327
23646936,0.868421052632,277,-0.23771655703181,0.870588235294,130,-0.542673912304139,-79.955,0.953804348,0.947368421
23646938,0.857142857143,247,-0.255337400472129,0.847058823529,140,-0.56820542007926,-88.9325,informer,informer
24180608,0.728571428571,32,-0.332654182756909,0.9,342,-0.356266490493799,-16.22875,0.943584071,0.933649289
24856364,0.833333333333,187,-0.28979382278357,0.875,196,-0.52119838611162,-8.8125,0.958059211,0.952861953
24896610,0.842105263157999,209,-0.29295283850131,0.710526315788999,74,-0.83848788778125,-76.1775,0.708333333,0.934883721
24949545,0.819277108434,145,-0.30743226227523,0.744186046511999,53,-0.82289463486853,-58.9325,0.764583333,0.833333333
25023715,0.915662650602,342,-0.185017605500079,0.913043478261,308,-0.372655729703819,informer,0.602564103,informer
25093474,0.814285714285999,127,-0.28794956230572,0.892857142856999,325,-0.42333245075263,-9.13625,0.944805195,0.935185185
25190921,0.883116883117,302,-0.22987374063687,0.843373493975999,65,-0.55802917934578,-4.225,0.94124424,0.930693069
25190924,0.771929824561,60,-0.35903769468182,0.918918918919,328,-0.43682009370802,-9.10125,0.942045455,0.931707317
25190926,0.840579710145,203,-0.298643910270629,0.815789473683999,49,-0.56263665762616,-6.60125,0.946428571,0.937219731
25210971,0.81914893617,143,-0.271022168417869,0.869158878505,208,-0.70638724522306,-9.7275,0.956632653,0.950877193
25210972,0.835051546392,191,-0.25803058806476,0.891891891892,262,-0.63831432761063,-38.36,0.957070707,0.951557093
25211574,0.808988764045,115,-0.299362859188539,0.884615384615,313,-0.649992729189629,informer,0.960648148,informer
25218571,0.814432989691,129,-0.28067276660567,0.873873873874,318,-0.719264188141029,-9.40375,0.961711712,0.957446809
25218573,0.811111111111,123,-0.29059709750303,0.885714285714,283,-0.65274456675779,-2.35,0.95735786,0.951890034
25218584,0.82,151,-0.28665178354658,0.877192982456,281,-0.68872498091881,informer,0.960280374,0.955835962
25218593,0.826086956522,171,-0.289237825810079,0.87619047619,324,-0.66130490177223,informer,0.961009174,0.956521739
25218600,0.821052631579,161,-0.275288554025509,informer,informer,informer,-27.2125,informer,informer
25218601,0.815217391304,133,-0.28479838533567,informer,informer,informer,-35.9025,informer,informer
25218614,informer,informer,informer,informer,informer,informer,-18.48,informer,0.951388889
25218621,0.810526315788999,121,-0.29795984514908,0.901785714286,345,-0.643498914502539,-8.3175,0.956484642,0.950704225
25263078,0.818181818182,148,-0.30571109387319,0.865168539326,263,-0.50762760062791,-6.64125,0.961363636,0.957055215
25263083,0.871794871795,282,-0.246840379732889,0.886363636364,194,-0.48271485297168,-11.64,0.962166172,0.957957958
25263087,0.883720930233,301,-0.23097773588578,0.895833333333,230,-0.447393019333269,-4.725,0.958870968,0.953947368
25263088,0.870588235294,276,-0.241878125280689,0.872340425532,137,-0.495930936475119,-7.1025,0.959134615,0.954248366
25263092,0.822784810127,165,-0.302386527587079,0.904255319149,272,-0.461026672450899,-66.6225,0.836622807,0.956656347
25263099,0.802631578947,95,-0.320083748822859,0.89010989011,209,-0.500518165331259,-31.61875,0.957781457,0.952380952
25263103,0.820512820513,157,-0.287230100155389,0.891304347826,214,-0.4889276328375,-57.0125,0.959003215,0.954098361
25263110,0.814814814815,131,-0.30179843380652,0.884210526316,289,-0.486859743779129,-54.54125,0.957641196,0.95221843
25263114,0.810126582277999,117,-0.30342031789402,0.905263157895,314,-0.437706915051599,-14.65,0.9575,0.952054795
25263115,0.819277108434,147,-0.29572875847769,0.897959183673,296,-0.46363741785635,-27.4025,0.962278107,0.958083832
25263116,0.833333333333,189,-0.28783828938371,0.909090909091,331,-0.429373171705409,-25.13375,0.959265176,0.954397394
25263117,0.827160493827,177,-0.290917596736269,0.894736842105,227,-0.477088667355369,-65.54625,0.962389381,0.958456973
25263118,0.8,110,-0.309449830688909,0.884210526316,188,-0.487271745514179,-15.6225,0.95990566,0.955128205
25263119,0.807228915663,128,-0.30896313943813,0.887755102040999,202,-0.4887773365366,-20.1775,0.9625,0.958579882
25263120,0.844444444444,222,-0.26069169692517,0.882352941175999,178,-0.47375852389845,-31.59375,0.747685185,0.820512821
25263123,0.855670103093,244,-0.259530973611939,0.9,254,-0.484226218649809,-43.405,0.752252252,0.82278481
25263124,0.851063829787,238,-0.25875471874009,0.897196261682,241,-0.481755068772259,-45.30125,0.756578947,0.825
25263274,0.854368932039,243,-0.24400695628868,0.867256637168,155,-0.553149321272009,-4.21875,0.957214765,0.951724138
42618163,0.788732394366,71,-0.34390046251542,0.843373493975999,67,-0.59715247527434,-12.58,0.959394904,0.954545455
42618164,0.782608695652,74,-0.34227075612559,0.794871794872,44,-0.671829452990159,-8.31875,0.95952381,0.954692557
44329036,0.820512820513,158,-0.30484963774021,0.827586206897,150,-0.62714816468353,-10.51375,0.950772201,0.942622951
