molid,pknb,bglf4,rop18
CID005329481,0.0,0.0,0.03
CID044532978,0.0,0.0,0.12
CID000253268,0.046,0.036,0.08
CID044525971,0.0,0.0,0.02
CID006539615,0.0,0.0,0.03
CID044305551,0.0,0.0,0.02
CID053469824,0.0,0.0,0.02
CID044305879,0.0,0.0,0.06
CID025190914,0.003,0.053,0.03
CID006539481,0.0,0.0,0.06
CID051356853,0.0,0.162,0.07
CID044525938,0.0,0.021,0.16
CID010186009,0.0,0.017,0.07
CID015872399,0.0,0.0,0.08
CID044532997,0.0,0.0,0.22
CID051356289,0.0,0.191,0.08
CID011793277,0.0,0.003,0.04
CID006539579,0.044,0.053,0.05
CID010028480,0.0,0.0,0.02
CID044526074,0.0,0.0,0.03
CID044305647,0.0,0.041,0.02
CID044525947,0.0,0.0,0.17
CID006539569,0.004,0.032,0.02
CID044535870,0.018,0.0,0.21
CID044397192,0.022,0.133,0.06
CID044525950,0.0,0.0,0.02
CID044526078,0.001,0.0,0.02
CID044526685,0.0,0.0,0.27
CID006539492,0.0,0.065,0.04
CID021078798,0.0,0.023,0.05
CID046215814,0.0,0.354,0.04
CID006539524,0.0,0.008,0.02
CID044397011,0.0,0.0,0.06
CID044305594,0.0,0.007,0.03
CID006539529,0.054,0.096,0.05
CID044592502,0.0,0.284,0.03
CID010310395,0.006,0.0,0.06
CID057345685,0.0,0.0,0.75
CID049862783,0.0,0.0,0.05
CID070685442,0.0,0.0,0.03
CID000667570,0.008,0.0,0.33
CID006539609,0.0,0.0,0.04
CID009888013,0.0,0.0,0.25
CID010158539,0.0,0.0,0.06
CID044525943,0.0,0.0,0.08
CID010621826,0.0,0.0,0.06
CID015521230,0.034,0.0,0.05
CID044591552,0.0,0.048,0.02
CID044532480,0.0,0.017,0.09
CID011197671,0.0,0.0,0.02
CID000838889,0.0,0.0,0.04
CID045480848,,,0.68
CID044529114,0.0,0.0,0.33
CID010183216,0.02,0.077,0.05
CID070691776,0.0,0.0,0.12
CID024804299,0.0,0.022,0.01
CID009945696,0.013,0.0,0.05
CID057396625,0.0,0.0,0.22
CID044532433,0.0,0.0,0.09
CID015838857,0.0,0.0,0.04
CID044526077,0.0,0.0,0.09
CID011495551,0.006,0.011,0.03
CID011558948,0.0,0.0,0.34
CID025263100,0.0,0.01,0.02
CID023648887,0.032,0.091,0.02
CID010151417,0.0,0.02,0.04
CID006539588,0.0,0.001,0.05
CID006539470,0.0,0.0,0.01
CID044526922,0.0,0.0,0.08
CID044532712,0.0,0.0,0.04
CID005311382,0.018,0.0,0.03
CID046886665,0.403,0.019,0.03
CID023648920,0.009,0.0,0.06
CID042618144,0.0,0.0,0.13
CID006539463,0.0,0.0,0.1
CID024803787,0.0,0.085,0.07
CID006539528,0.198,0.008,0.08
CID024803786,0.062,0.089,0.07
CID011633551,0.0,0.02,0.06
CID044397230,0.0,0.0,0.01
CID010135552,0.015,0.0,0.06
CID045271244,0.0,0.0,0.04
CID045271243,0.0,0.0,0.06
CID056683489,0.0,0.082,0.03
CID010757558,,,0.08
CID044532531,0.0,0.018,0.1
CID000129723,0.0,0.0,0.01
CID005329841,0.0,0.0,0.11
CID051357954,0.0,0.0,0.01
CID066561013,0.0,0.0,0.03
CID025263085,0.0,0.092,0.01
CID044525969,0.0,0.0,0.03
CID044336144,0.0,0.0,0.07
CID053467617,0.0,0.0,0.05
CID025263102,0.0,0.0,0.05
CID022609863,0.0,0.008,0.05
CID011716589,0.0,0.0285,0.67
CID053469634,0.0,0.0,0.04
CID011220119,0.0,0.0,0.07
CID001491157,0.0,0.0,0.05
CID024802788,0.0,0.034,0.08
CID000003134,0.0,0.014,0.02
CID051357696,0.0,0.0,0.05
CID057400063,0.045,0.007,0.01
CID057391365,0.0,0.0,0.01
CID000221158,0.0,0.0,0.07
CID000309461,0.0,0.033,0.01
CID011959683,0.347,0.021,0.02
