molid,bglf4_c_s_1,bglf4_c_l_1,bglf4_c_w_1,bglf4_p_s_1,bglf4_p_l_1,bglf4_p_w_1,pknb_c_s_1,pknb_c_l_1,pknb_c_w_1,pknb_p_s_1,pknb_p_l_1,pknb_p_w_1
24856364,0.855855855856,163,-0.12849849878560002,0.844827586207,250,-0.4915174269869389,nan,nan,-0.017980370305321,0.8217821782179999,120,-0.14088848804608603
24896610,0.8061224489800001,45,-0.16726946093427497,0.8061224489800001,100,-0.64253168731413,nan,nan,-0.019128878006918995,0.775280898876,66,-0.165583832601096
24949545,0.8348623853210001,96,-0.14773045650345995,0.786516853933,69,-0.648944772084427,nan,nan,-0.015957271859622,0.7731958762890001,62,-0.17306217981671496
25023715,0.877358490566,232,-0.101582647805045,0.875,334,-0.37411854298587494,nan,nan,-0.014151203301208,0.7052631578949999,33,-0.13876222323685
25093474,0.8571428571430001,168,-0.12929988970858597,0.844660194175,313,-0.4389882913651058,nan,nan,-0.019937297485393003,0.862745098039,191,-0.10935453346699998
25190921,0.802083333333,41,-0.15606482661231103,0.792079207921,88,-0.595776221940293,nan,nan,-0.024348756719622996,0.877358490566,255,-0.10520728726131598
25190924,0.746835443038,14,-0.20638184630958503,0.746835443038,37,-0.5969524941255041,nan,nan,-0.028298007020577,0.8804347826090001,263,-0.09633731871161495
25190926,0.8152173913040001,59,-0.15310228108283397,0.8152173913040001,65,-0.6620563168471871,nan,nan,-0.021932512627969,0.9029126213590001,325,-0.08068012373976101
25210971,0.5567010309279999,9,-0.33815013644234504,0.5567010309279999,25,-0.88174896204922,nan,nan,-0.018807924369755,0.810810810811,100,-0.14587630235877697
25210972,0.5656565656570001,10,-0.328817446717987,0.5656565656570001,26,-0.8510217172649531,nan,nan,-0.016892047078942,0.844827586207,196,-0.128739703234379
25211574,0.548387096774,7,-0.3456866028700441,0.548387096774,19,-0.8717861787654521,nan,nan,-0.019280678316663996,0.860655737705,185,-0.122958054555439
25218571,0.545454545455,6,-0.346426156207322,0.459183673469,2,-0.9191230147571049,nan,nan,-0.018547225525898006,0.837606837607,166,-0.137761734789424
25218573,0.553191489362,8,-0.34137702177795803,0.553191489362,20,-0.8678601676726669,nan,nan,-0.018548805157079004,0.852459016393,143,-0.124483199925466
25218584,0.43617021276600004,4,-0.42220155080623295,0.43617021276600004,14,-0.9488051126920581,nan,nan,-0.018763852120838004,0.8416666666670001,180,-0.13288527322894395
25218593,0.587628865979,11,-0.315741807437985,0.515463917526,8,-0.8207450496922561,nan,nan,-0.018910371749297997,0.844262295082,117,-0.133651714436484
