"coding_CID" "coding_FDR" "as_CID" "as_FDR"
"149" "CID044532690" 0.942953020134228 "CID044305910" 0.923489932885906
"150" "CID044525951" 0.943333333333333 "CID000156414" 0.924
"151" "CID044529262" 0.943708609271523 "CID044578566" 0.924503311258278
"152" "CID051357138" 0.944078947368421 "CID009836050" 0.925
"153" "CID011224168" 0.944444444444444 "CID044526073" 0.925490196078431
"154" "CID044279444" 0.944805194805195 "CID045269578" 0.925974025974026
"155" "CID044525965" 0.945161290322581 "CID066561010" 0.926451612903226
"156" "CID006539512" 0.94551282051282 "CID006539606" 0.926923076923077
"157" "CID044525922" 0.945859872611465 "CID053322416" 0.927388535031847
"158" "CID046927672" 0.94620253164557 "CID006539572" 0.927848101265823
"159" "CID006539475" 0.946540880503145 "CID060150509" 0.928301886792453
"160" "CID044525942" 0.946875 "CID010086873" 0.92875
"161" "CID044532477" 0.947204968944099 "CID044578630" 0.929192546583851
"162" "CID044397393" 0.947530864197531 "CID044525940" 0.92962962962963
"163" "CID044532737" 0.947852760736196 "CID006539455" 0.930061349693251
"164" "CID009901062" 0.948170731707317 "CID011427162" 0.930487804878049
"165" "CID044525967" 0.948484848484848 "CID010161259" 0.930909090909091
"166" "CID044525964" 0.948795180722892 "CID044526071" 0.931325301204819
"167" "CID044571415" 0.949101796407186 "CID044525924" 0.931736526946108
"168" "CID051356856" 0.949404761904762 "CID057396626" 0.932142857142857
"169" "CID044525935" 0.949704142011834 "CID010639924" 0.932544378698225
"170" "CID044525954" 0.95 "CID006539571" 0.932941176470588
"171" "CID044532446" 0.950292397660819 "CID044527361" 0.933333333333333
"172" "CID071451677" 0.950581395348837 "CID009865518" 0.933720930232558
"173" "CID044532526" 0.950867052023121 "CID044525957" 0.934104046242775
"174" "CID044525930" 0.951149425287356 "CID044525958" 0.93448275862069
"175" "CID044525949" 0.951428571428571 "CID044525921" 0.934857142857143
"176" "CID044525920" 0.951704545454545 "CID022112846" 0.935227272727273
