molid,rop18_c_s_2,rop18_c_l_2,rop18_c_w_2,rop18_p_s_2,rop18_p_l_2,rop18_p_w_2
CID044525948,0.865168539326,269,-0.26409108495095995,0.626262626263,18,-0.4084975579488301
CID056673950,0.819444444444,102,-0.22058090993566998,0.8990825688070001,379,-0.22078575071365997
CID044525956,0.8777777777779999,304,-0.28086703918025,0.64,25,-0.41476029955657
CID044525923,0.8571428571430001,223,-0.30409811431045997,0.740384615385,66,-0.42279206842054995
CID044525961,0.8915662650599999,344,-0.24567467084911004,0.7425742574259999,67,-0.41073753613854
CID000005228,0.8387096774189999,160,-0.20744900912356004,0.86170212766,304,-0.20800210775623001
CID044525934,0.847058823529,185,-0.33672852523729996,0.683168316832,35,-0.43265622272838
CID053469448,0.8488372093019999,192,-0.2955692144741901,0.8644067796610001,310,-0.31197164080802
CID006539452,0.881355932203,315,-0.20763875581635,0.8901098901100001,368,-0.19452919330733998
CID009861063,0.18918918918900002,0,-0.5091562672164799,0.827586206897,177,-0.25201488160702
CID024949702,0.8522727272730001,204,-0.22356176956498994,0.763636363636,83,-0.4034198096000501
CID053467392,0.825,114,-0.2976461637092,informer,informer,informer
CID044328970,0.837837837838,156,-0.20342072194654992,0.847619047619,248,-0.2584542993205
CID044528968,0.840909090909,165,-0.23353119174773995,0.26582278481,2,-0.5668388555569499
CID045270417,0.813559322034,85,-0.21851985126675996,0.833333333333,198,-0.24190731200103
CID024803957,0.85,198,-0.23584146098727002,informer,informer,informer
CID044525945,0.8850574712639999,325,-0.28128691406851003,0.730769230769,57,-0.40904475261425
CID070685440,0.8987341772149999,364,-0.18756696347710006,0.8909090909090001,369,-0.22504398124899994
CID045272982,0.815384615385,91,-0.20860991927041,0.8571428571430001,288,-0.22841781063174996
CID045481463,0.68115942029,15,-0.29677630079471007,0.7884615384620001,105,-0.31679465987400995
CID044525955,0.872093023256,287,-0.31411340049243996,0.5806451612899999,14,-0.44235489066208006
CID011595752,0.391304347826,8,-0.39709918783616005,0.8404255319149999,218,-0.25515023119453006
CID006263849,0.821428571429,105,-0.20093574746626,0.8777777777779999,346,-0.19055499989487004
CID006539550,0.791044776119,44,-0.26111600523671996,0.8163265306119999,154,-0.3031662661439
CID044532432,0.8571428571430001,224,-0.17916447146320996,0.849462365591,257,-0.23841027979221002
CID070683338,0.904761904762,375,-0.18290751204831995,0.885964912281,363,-0.21094548471240998
CID006539376,0.837837837838,157,-0.19519440745292999,0.67032967033,30,-0.46974408806795
CID006539427,0.807692307692,69,-0.23114523641060997,0.545454545455,11,-0.47670355630177996
CID044525972,0.8266666666670001,121,-0.23129424381460995,0.744897959184,69,-0.37210127006986005
CID017917696,0.802816901408,60,-0.23156845467317003,0.811881188119,147,-0.26320378324210003
CID057403579,0.890243902439,340,-0.18479767302994002,0.875,335,-0.24265288372458999
CID024803301,0.827586206897,125,-0.25432064383663994,0.838983050847,213,-0.3658614411775
CID010239038,0.8666666666670001,275,-0.19509015580782996,informer,informer,informer
CID006539582,0.8625,256,-0.20825897241815997,0.822429906542,169,-0.28909581360109
CID044525966,0.824324324324,110,-0.24026971790766,0.755102040816,80,-0.37623439237598993
CID044526076,0.816901408451,95,-0.2882287056672,0.7473684210529999,73,-0.31253454007724
CID057398392,0.875,293,-0.19939018549673,0.873786407767,331,-0.23190201826599
CID000227502,0.918032786885,392,-0.13397657278404998,0.913978494624,389,-0.17084252884354004
CID056680318,0.86,242,-0.22923302904431,0.726495726496,53,-0.44704591845099
CID022185475,0.824324324324,111,-0.23755655057669994,0.8490566037739999,254,-0.23176026615824002
CID011057468,0.822580645161,106,-0.24187846471595997,0.851063829787,264,-0.2123981578781
CID006538884,0.7884615384620001,38,-0.23835737853666994,0.873563218391,329,-0.20560154392337
CID044525968,0.8648648648649999,267,-0.22678672014182,0.7473684210529999,74,-0.38444444938382005
CID006539525,0.890625,343,-0.20436187709561,0.847826086957,249,-0.23384201432318005
CID044269265,0.813333333333,83,-0.22586521891398004,0.78431372549,100,-0.30892657767889997
CID046215644,0.828125,126,-0.24029518632570995,0.854166666667,275,-0.24290131589803
CID044532102,0.6949152542370001,16,-0.28478574789463995,0.8210526315790001,166,-0.30171491320898997
CID006539509,0.8730158730159999,290,-0.21739973201284002,0.8842105263160001,358,-0.19644742506139
CID044525929,0.8414634146340001,168,-0.29992537379393996,0.7378640776700001,62,-0.41144796616125995
CID044532450,0.875,294,-0.18618285891625,0.8425925925929999,229,-0.27594791465885005
CID018536646,0.7804878048780001,33,-0.26066972388008997,0.7837837837839999,99,-0.28727726477713
CID017755746,0.894117647059,356,-0.17151426153311,0.848214285714,252,-0.23603630126669
CID006539394,0.830985915493,137,-0.19810430513243998,0.717391304348,47,-0.45963596276068996
CID011682470,0.33333333333299997,6,-0.43237164029193004,0.8383838383840001,211,-0.26531444610531996
CID018536633,0.792682926829,47,-0.25909063300365,0.7927927927930001,112,-0.28451874542024996
CID044526075,0.808823529412,73,-0.24821056989838997,0.8163265306119999,155,-0.26836905058608007
CID044479934,0.861111111111,248,-0.20551372815892002,0.83,185,-0.23715812242031
CID011682680,0.392156862745,9,-0.43359730516004996,0.8181818181820001,157,-0.28320835783594994
CID057403576,0.8904109589040001,341,-0.19066498628822998,0.851485148515,267,-0.24749024382547996
CID044527603,0.814814814815,89,-0.26697100538035,0.20547945205499998,1,-0.59563443311166
CID044525933,0.8953488372089999,359,-0.2801276997385,0.75,76,-0.39982587124474
CID045271247,0.828571428571,129,-0.20776079221445998,0.864077669903,308,-0.22078180658042
CID044525925,0.863636363636,261,-0.29666307815022996,0.72641509434,52,-0.42789786598350005
CID009925372,0.27906976744199996,5,-0.45562543154026003,0.8404255319149999,219,-0.25367734908290007
CID006539523,0.8545454545450001,212,-0.22397222797717997,0.847058823529,246,-0.24237522649386004
CID011594774,0.268292682927,3,-0.46216085402679996,0.835164835165,205,-0.24836395583795995
CID010286382,0.8356164383560001,147,-0.19858483949813996,0.681318681319,34,-0.3659398689168701
CID009925594,0.8113207547169999,77,-0.22459786774953006,0.847058823529,247,-0.20216256398763002
CID021027446,0.805970149254,65,-0.22397230447133998,0.7894736842110001,108,-0.24034372292678002
CID009914412,0.875,295,-0.21422562653625,0.7706422018350001,85,-0.33058348593523
CID006539480,0.892307692308,345,-0.22960459452733,0.885416666667,361,-0.19694771099062
CID044525927,0.869047619048,280,-0.284982083667,0.75,77,-0.41430232832957004
CID053469453,0.807692307692,70,-0.30346770528919004,0.877192982456,340,-0.31337929690765
CID006539516,0.8955223880600001,360,-0.17280689934953997,0.941747572816,397,-0.16985303234763
CID044536075,0.837837837838,158,-0.21758972159438997,0.8691588785050001,317,-0.22953560075695
CID044328896,0.802816901408,61,-0.22461268001171003,0.834951456311,203,-0.27006296582806
CID006539578,0.838235294118,159,-0.23618903621973,0.8125,148,-0.27643078106166996
CID025263084,0.881578947368,316,-0.19671302376372002,0.787878787879,104,-0.26329128013266
CID044526069,0.8142857142859999,86,-0.25530030498490003,0.808080808081,139,-0.26011600161195003
CID006539565,0.84375,179,-0.2270887505768,0.8279569892470001,179,-0.2500795304817499
CID044592364,0.862068965517,254,-0.22480180212907,0.844827586207,240,-0.39110369088679997
CID006539486,0.8695652173909999,282,-0.24807753303012003,0.7978723404260001,118,-0.24547550043374997
CID044578252,0.835820895522,148,-0.21863297526133998,0.87,320,-0.22703067776851996
CID009929101,0.816901408451,96,-0.2234002841407,0.785714285714,102,-0.33300862218249
CID024804780,0.8823529411759999,319,-0.20496235421299003,0.859649122807,297,-0.40280931054056995
CID017755233,0.918367346939,393,-0.18034871931263002,0.844262295082,238,-0.31540380162349
CID044525939,0.8571428571430001,225,-0.30598258763708996,0.676767676768,31,-0.4252958596549301
CID010278843,0.902173913043,368,-0.17600031620164,0.837606837607,207,-0.27724737446912
CID044525959,0.880952380952,313,-0.27194599952714,0.7475728155339999,75,-0.4093491274393001
CID025093464,0.849315068493,193,-0.19826047665861,0.855769230769,284,-0.23700437823022
CID006539506,0.863636363636,262,-0.23287246548449997,0.854166666667,276,-0.22329720478888
CID044529229,0.879120879121,309,-0.19398588566543,0.8290598290600001,183,-0.2649249937474099
CID006539461,0.8656716417910001,272,-0.25245491813431997,0.8064516129029999,136,-0.23657779591126005
CID000447966,0.48888888888899995,12,-0.3441154676252,0.855555555556,281,-0.23368079963467
CID044532445,0.8780487804880001,306,-0.18500520169666998,0.845454545455,242,-0.27116047500687
CID044433573,0.7424242424240001,18,-0.26849493460944995,0.843137254902,232,-0.22428583134660002
CID006539602,0.805970149254,66,-0.25747368843949997,0.802083333333,124,-0.26819599997105004
CID006539513,0.84126984127,167,-0.22623348694783998,0.851063829787,265,-0.20664301036521002
CID001489204,0.828571428571,130,-0.20328391544015,0.841584158416,224,-0.20699162594332998
CID044529385,0.914634146341,388,-0.15775331486299998,0.9026548672570001,386,-0.21496385169820997
CID006539473,0.846153846154,182,-0.29178343180368,0.791208791209,110,-0.24988466162903
CID006539605,0.828571428571,131,-0.24369115451078,0.79381443299,114,-0.26634341602329004
CID044305812,0.916666666667,390,-0.12442549616942998,0.9130434782610001,388,-0.17661512965012
CID009923028,0.790322580645,42,-0.24157410581851996,0.75,78,-0.23563772264747998
CID044525960,0.8734177215189999,291,-0.27877107070626006,0.734693877551,58,-0.42527080231232
CID044525485,0.8026315789470001,58,-0.27387292108262995,0.659574468085,27,-0.42427952616938003
CID011231979,0.8125,80,-0.22243775897328,0.831578947368,191,-0.2909193993066
CID044525970,0.833333333333,143,-0.26859777670490004,0.701030927835,40,-0.39663426430899
CID044525937,0.860465116279,244,-0.28370764869565995,0.721153846154,49,-0.40261712626586
CID044529831,0.8157894736839999,92,-0.21757839698942003,0.798076923077,119,-0.35934993231388
CID024803300,0.8414634146340001,169,-0.270637428440711,0.828828828829,182,-0.39561753281121
CID009836051,0.786885245902,37,-0.24174258254521,0.788888888889,107,-0.23445379007978998
CID006539610,0.852941176471,208,-0.21281734976986,0.84693877551,244,-0.24107560117817997
CID044529101,0.8181818181820001,100,-0.26179417208843997,0.17105263157900003,0,-0.57567058764458
CID011524582,0.8928571428569999,348,-0.19020347871956006,0.814814814815,153,-0.25220555221107
CID010595057,0.849315068493,194,-0.21239986266817007,0.81,145,-0.28464783084497997
CID009814925,0.766666666667,26,-0.24602119810743,0.802197802198,126,-0.22259039273254003
CID044532297,0.8550724637680001,216,-0.18025727099357997,0.86,299,-0.27919981375492997
CID051356854,0.84375,180,-0.20129804730572998,0.8877551020409999,367,-0.21030592709313
CID044528946,0.840909090909,166,-0.23967498513286997,0.38823529411799995,5,-0.50973170830157
CID006539587,0.852941176471,209,-0.21532222625904002,0.858585858586,293,-0.21851473684448997
