molid,bglf4_c_s_2,bglf4_c_l_2,bglf4_c_w_2,bglf4_p_s_2,bglf4_p_l_2,bglf4_p_w_2,pknb_c_s_2,pknb_c_l_2,pknb_c_w_2,pknb_p_s_2,pknb_p_l_2,pknb_p_w_2,rop18_c_s_2,rop18_c_l_2,rop18_c_w_2,rop18_p_s_2,rop18_p_l_2,rop18_p_w_2
CID057394915,0.858823529412,149,-0.05019900744580001,0.8679245283020001,238,-0.09496441560244198,0.831683168317,131,-0.008141498062841,0.84,171,-0.090948735035245,0.85,196,-0.23523525371115003,0.81308411215,150,-0.27476803840852
CID044525924,0.9111111111110001,343,-0.046050832947236,0.847619047619,156,-0.10885727851748299,0.8217821782179999,91,-0.007636380159745,0.741935483871,39,-0.155572484552778,0.8928571428569999,346,-0.26919652587802007,0.745098039216,70,-0.41261447032057
CID023648890,0.808823529412,51,-0.06866142531396802,informer,informer,informer,0.879120879121,324,-0.006847908115983001,informer,informer,informer,0.8125,79,-0.22598491375304003,informer,informer,informer
CID057396626,0.90243902439,314,-0.059988109284623004,0.9029126213590001,355,-0.06436019413570797,0.831578947368,129,-0.01577656937226,0.8152173913040001,110,-0.10957923634472697,0.910256410256,383,-0.17399095869518,0.878504672897,348,-0.23315396778442998
CID010639924,0.80303030303,42,-0.05651977847972399,0.827586206897,97,-0.088407454945201,0.876404494382,318,-0.0075195842653620025,0.873563218391,279,-0.07204691780724798,0.745762711864,21,-0.29863994972234,0.788888888889,106,-0.24451516532514
CID006539571,0.859154929577,151,-0.04744813370866602,0.8571428571430001,190,-0.09839332039536397,0.879120879121,325,-0.006969550506550001,0.837209302326,158,-0.09310447079368,0.8656716417910001,271,-0.20862098843600996,0.84375,234,-0.25911651728861995
CID024802961,0.831325301205,89,-0.08403851707902601,0.48101265822800005,6,-0.268883382327141,0.87619047619,313,-0.006907350831904999,0.873786407767,287,-0.076353247330849,0.85,197,-0.23473289985323,0.845454545455,241,-0.39246651696514
CID044527361,0.784615384615,25,-0.055537490721894,0.8666666666670001,229,-0.08688002241514298,0.924731182796,395,-0.006424979321753001,0.860465116279,233,-0.08078397160411799,0.84375,178,-0.21726099993956,0.864583333333,311,-0.23279494782452004
CID051356852,0.8484848484849999,124,-0.045007342657327004,0.862068965517,211,-0.08018591081691101,0.858823529412,246,-0.0068944741532890015,0.9080459770110001,376,-0.05776693958151696,0.83606557377,150,-0.20236694181331,0.895833333333,374,-0.19593603503777002
CID009865518,0.894117647059,280,-0.042216778373456006,0.875,260,-0.089621683431295,0.826530612245,105,-0.008444755576646,0.7717391304350001,80,-0.14039431763894095,0.8289473684209999,132,-0.21753299900060008,0.772277227723,88,-0.34667641734603
CID044525957,0.895833333333,293,-0.04799901792916901,0.827272727273,94,-0.108539683765466,0.845454545455,182,-0.007227196969694002,0.75,52,-0.146375914900061,0.8901098901100001,336,-0.26221836620232997,0.64,23,-0.42015863067312
CID044525958,0.882978723404,231,-0.05206068969326401,0.814814814815,69,-0.11155213261908001,0.833333333333,135,-0.007911130409625003,0.76,67,-0.138610181776218,0.863636363636,257,-0.29486669111772,0.59375,17,-0.42804487391347
CID044525921,0.8901098901100001,263,-0.045854945116991994,0.8518518518520001,167,-0.10717934367855897,0.792079207921,30,-0.008471258496585,0.736842105263,31,-0.15379854699761902,0.8705882352940001,284,-0.28406032716609997,0.740384615385,64,-0.39380330384842
CID022112846,0.894117647059,281,-0.04755881349305401,0.852941176471,175,-0.086609693081639,0.814432989691,65,-0.0070677086797320005,0.822916666667,120,-0.10755094122678499,0.8589743589740001,237,-0.21762909948509995,0.8190476190479999,159,-0.29061609857359005
CID044578709,0.847058823529,118,-0.056145555783045004,0.8252427184469999,89,-0.11953869201259601,0.833333333333,136,-0.008505797101454,0.8181818181820001,113,-0.10846184996464496,0.8227848101270001,107,-0.25562816174566994,0.803738317757,129,-0.32811818709755997
CID006539398,0.894117647059,282,-0.046419336852794,0.864077669903,221,-0.114151150190417,0.894230769231,361,-0.0062096153846019995,0.569620253165,3,-0.24118221218455999,0.7972972972969999,50,-0.24785879878402,0.708333333333,44,-0.46587530866437005
CID006539501,0.87012987013,179,-0.05939817288023902,0.829787234043,101,-0.08938565103552698,0.863157894737,260,-0.007410201846341001,0.8602150537630001,230,-0.08236533243448996,0.876712328767,299,-0.25510238151475,0.8061224489800001,135,-0.26419763214179
CID053469449,0.8777777777779999,209,-0.050823609247689014,0.862385321101,214,-0.084909466707536,0.179104477612,0,-0.0207715668967,0.846153846154,186,-0.08619068037780298,0.8433734939759999,175,-0.31054210597215004,0.8706896551719999,321,-0.30639626918688
CID024804781,0.814814814815,60,-0.075016999440502,informer,informer,informer,0.885714285714,344,-0.006819576719573,informer,informer,informer,0.890243902439,338,-0.19296472872908,informer,informer,informer
CID044527657,0.837837837838,94,-0.049348684836265005,0.802197802198,57,-0.09600820776567202,0.908163265306,382,-0.0061760733205920015,0.858695652174,226,-0.08334973074506499,0.791044776119,43,-0.2543814838277,0.80412371134,132,-0.25055722296573
CID006539467,0.826086956522,77,-0.065277025311172,0.8571428571430001,191,-0.07875911363583796,0.879120879121,326,-0.007278225035827,0.863636363636,249,-0.08057643208752599,0.8484848484849999,190,-0.26183413798869004,0.78021978022,95,-0.24752981678993996
CID045272980,0.851351351351,135,-0.055088090705908,0.8387096774189999,128,-0.09463126861153802,0.847826086957,190,-0.0075870060736479995,0.844444444444,181,-0.08576995214442898,0.805970149254,64,-0.25561927088889996,0.802083333333,123,-0.27090794099337
CID044526099,0.8648648648649999,163,-0.047179195061169,0.86170212766,207,-0.09742794214133799,0.858695652174,244,-0.0066963656202730015,0.7125,12,-0.15945941128853297,0.784615384615,36,-0.25825282074433,0.689655172414,36,-0.39088202046313003
CID044532720,0.8507462686570001,134,-0.04397648194653899,0.876404494382,269,-0.08298359408004,0.9111111111110001,388,-0.005351202321721997,0.8705882352940001,269,-0.07772243686940697,0.588235294118,13,-0.29966981421565997,0.849462365591,256,-0.23862814837698001
CID006539613,0.8734177215189999,197,-0.043093149472679025,0.8210526315790001,79,-0.10969649073673698,0.888888888889,351,-0.006331975362534005,0.8387096774189999,165,-0.088058118171908,0.88,311,-0.17639236718208995,0.844660194175,239,-0.2617230952128
CID009958299,0.913978494624,360,-0.039689017939518,0.8301886792450001,104,-0.08524780973350098,0.910714285714,387,-0.006031134588356,0.8571428571430001,219,-0.07981476454404798,0.909090909091,381,-0.16918812957258,0.860869565217,301,-0.25055593145850996
