molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw
CID011220119,,,-0.21970647198563995,,,-0.19350806966432998
CID046214650,,,-0.20203223535758996,,,-0.21591981350481995
CID044336144,,,-0.22123627243476,,,-0.3015266473152499
CID009836051,,,-0.24174258254521,,,-0.23445379007978998
CID044532690,,,-0.20366070099120998,,,-0.28485893829759
CID011682680,,,-0.43359730516004996,,,-0.28320835783594994
CID006539516,,,-0.17280689934953997,,,-0.16985303234763
CID044269265,,,-0.22586521891398004,,,-0.30892657767889997
CID010267580,,,-0.23351736529457,,,-0.23553471566115997
CID006539513,,,-0.22623348694783998,,,-0.20664301036521002
CID006539512,,,-0.20565666516587,,,-0.17184332817464
CID044528968,,,-0.23353119174773995,,,-0.5668388555569499
CID044578252,,,-0.21863297526133998,,,-0.22703067776851996
CID006539519,,,-0.20641860440343993,,,-0.19026100321585998
CID051357696,,,-0.26703371917092994,,,-0.27131393341427
CID024803957,,,-0.23584146098727002,informer,informer,informer
CID053469453,,,-0.30346770528919004,,,-0.31337929690765
CID044525486,,,-0.2837786904517,,,-0.45374599520901004
CID044525485,,,-0.27387292108262995,,,-0.42427952616938003
CID000309461,,,-0.21265208822464998,,,-0.21622073928715999
CID044397192,,,-0.12853305536652998,,,-0.15287318311355003
CID011524582,,,-0.19020347871956006,,,-0.25220555221107
CID025033539,,,-0.21994421478251996,,,-0.24879214334421004
CID010639924,,,-0.2969450344681,,,-0.24451516532513998
CID006263849,,,-0.20093574746626,,,-0.19055499989487004
CID056673516,,,-0.19602948192277997,informer,informer,informer
CID044305594,,,-0.16817693308956005,,,-0.21321966252699004
CID011495551,,,-0.2690456694326,,,-0.28760045735584
CID022049997,,,-0.16939789081511,,,-0.21958069790563
CID018536633,,,-0.25909063300365,,,-0.28451874542024996
CID056680318,,,-0.22923302904431,,,-0.44704591845099
CID006539394,,,-0.19810430513243998,,,-0.45963596276068996
CID006539398,,,-0.24621496316758004,,,-0.46587530866437
CID044536075,,,-0.21758972159438997,,,-0.22953560075695
CID051356289,,,-0.24555014336915998,,,-0.32091448444458004
CID044529229,,,-0.19398588566543,,,-0.2649249937474099
CID044532450,,,-0.18618285891625,,,-0.27594791465885005
CID011793277,,,-0.2509165460352599,,,-0.25744219783015004
CID044529279,,,-0.27735702389835,,,-0.5134175207642699
CID024804781,,,-0.19077294790716004,informer,informer,informer
CID044526078,,,-0.26689254897407,,,-0.30520101044116993
CID044532526,,,-0.18730903788538,,,-0.30822420553781
CID006539426,,,-0.24672525946126997,,,-0.4871108237988299
CID044526072,,,-0.23273527645338002,,,-0.27889008177762004
CID044526073,,,-0.29211027024391,,,-0.29228384706126
CID044526070,,,-0.26491623389359203,,,-0.27929414888774995
CID044526071,,,-0.27195754973118,,,-0.28209946419834
CID044526076,,,-0.2882287056672,,,-0.31253454007724
CID044526077,,,-0.26607186681922,,,-0.29457867533896
CID044526075,,,-0.24821056989838997,,,-0.26836905058608007
CID009861063,,,-0.5091562672164799,,,-0.25201488160702
CID011712734,,,-0.21406364037333003,,,-0.36103911003232003
CID015407403,,,-0.24950243862718996,,,-0.30160687500076
CID044397687,,,-0.23205755190790003,,,-0.25516619086229
CID044532978,,,-0.22956937997826998,,,-0.29791095687944
CID044328896,,,-0.22461268001171003,,,-0.27006296582806
CID010135552,,,-0.22730863160239997,,,-0.25503287575959
CID011373846,,,-0.17276966958443005,,,-0.22466128768473997
CID021078798,,,-0.22197114916008004,,,-0.21970760521063998
CID045481463,,,-0.29677630079471007,,,-0.31679465987400995
CID006450551,,,-0.22766433107913997,,,-0.23806827167989
CID044578709,,,-0.25406972018722995,,,-0.32811818709755997
CID010452739,,,-0.24035009207021002,,,-0.24709495967404999
CID057396626,,,-0.17315762536183998,,,-0.23315396778443004
CID000069689,,,-0.12830356098856993,,,-0.17459008997506004
CID044532720,,,-0.29791542825074,,,-0.23862814837698001
CID053322416,,,-0.29752259417573,,,-0.23115615991507998
CID024804298,,,-0.23255657732108004,,,-0.41269375355716004
CID044532480,,,-0.22309613344786997,,,-0.27119304051499
CID057396625,,,-0.19007154312124996,,,-0.23014269297307
CID006539579,,,-0.2437440902333,,,-0.26016723075838993
CID057345685,,,-0.19137259468314005,,,-0.22338300852928994
CID044529220,,,-0.23520713149869,,,-0.49055635068666
CID051355190,,,-0.24186457946009,,,-0.27406794972253995
CID045480848,,,-0.22710396997107002,,,-0.29662630840733994
CID015872399,,,-0.24618394052922005,,,-0.25372345427942
CID045270417,,,-0.21851985126675996,,,-0.24190731200103
CID044525943,,,-0.29041581199249006,,,-0.40718846412116
CID011626560,,,-0.19099354301009003,,,-0.22821416771753
CID009923028,,,-0.24157410581851996,,,-0.23563772264747998
CID044525958,,,-0.29369022052947996,,,-0.42804487391347
CID044525959,,,-0.27194599952714,,,-0.4093491274393001
CID044532438,,,-0.20199204921821,,,-0.28035135257948995
CID000253268,,,-0.12308035624602,,,-0.16437498916999002
CID044526685,,,-0.21174750123792002,,,-0.27479718736765
CID044532432,,,-0.17916447146320996,,,-0.23841027979221002
CID044525952,,,-0.26645036604461,,,-0.42728699873171
CID005330286,,,-0.17025996249109,,,-0.2514562516288801
CID044525954,,,-0.2690487040327201,,,-0.41201575261213996
CID044525955,,,-0.31411340049243996,,,-0.44235489066208006
CID044525956,,,-0.28086703918025,,,-0.41476029955657
CID044525957,,,-0.26055169953567,,,-0.42015863067312
CID023648920,,,-0.23078247980137,,,-0.35187289110835007
CID044525950,,,-0.28375744297609,,,-0.43281416701164
CID044527657,,,-0.25286633231254,,,-0.25055722296573
CID024803300,,,-0.270637428440711,,,-0.39561753281121
CID024803301,,,-0.25432064383663994,,,-0.3658614411775
CID044525951,,,-0.25379987805162,,,-0.42347091756841004
CID023648887,,,-0.22080593096732998,,,-0.37521029752394996
CID006539550,,,-0.26111600523671996,,,-0.3031662661439
CID011959683,,,-0.19037698991883,,,-0.22705690039916998
CID022112846,,,-0.21568465504065998,,,-0.29061609857359005
CID044479934,,,-0.20551372815892002,,,-0.23715812242031
CID010310395,,,-0.19659844728377995,informer,informer,informer
CID024949702,,,-0.22356176956498994,,,-0.4034198096000501
CID006539416,,,-0.23355805878415,,,-0.47975314666468005
CID009945516,,,-0.49607129204524,,,-0.24880625206191004
CID011133737,,,-0.24129029533294,,,-0.27753701164154
CID049862644,,,-0.23436795437249996,,,-0.24728498471546995
CID011514099,,,-0.22310014739862005,,,-0.18573116016171
CID001491157,,,-0.16763553000756004,,,-0.20534380053809
CID060150509,,,-0.17189042600333,,,-0.22414161343061995
CID024803786,,,-0.20597724269349,,,-0.32208355150723
CID046886665,,,-0.15049079318518005,,,-0.19811833952122
CID044571415,,,-0.18524542107918002,,,-0.23837674808987006
CID053317178,,,-0.23113528075866,,,-0.19560031539136005
CID009925594,,,-0.22459786774953006,,,-0.20216256398763002
CID000129723,,,-0.20006737750834,,,-0.19753193514734002
CID005311382,,,-0.19913671436314995,informer,informer,informer
CID000227502,,,-0.13397657278404998,,,-0.17084252884354004
CID049798353,,,-0.18808404724852995,,,-0.20940148340506998
CID044525928,,,-0.26329875672355,,,-0.40864972005415
CID044526922,,,-0.23730200991475,,,-0.28396872950697005
CID009925372,,,-0.45562543154026003,,,-0.25367734908290007
CID006539615,,,-0.20696659975406995,,,-0.27717880207455997
