molid,rop18_c_s_2,rop18_c_l_2,rop18_c_w_2,rop18_p_s_2,rop18_p_l_2,rop18_p_w_2
CID010287409,nan,nan,-0.26067248136842003,nan,nan,-0.22665361967325995
CID045271243,nan,nan,-0.21350940742184002,nan,nan,-0.25791649292145
CID006539610,nan,nan,-0.21281734976986,nan,nan,-0.24107560117817997
CID045271244,nan,nan,-0.22433187776757002,nan,nan,-0.24428184992244
CID045271247,nan,nan,-0.20776079221445998,nan,nan,-0.22078180658042
CID057394915,nan,nan,-0.23420961268551002,nan,nan,-0.27476803840852004
CID025093464,nan,nan,-0.19826047665861,nan,nan,-0.23700437823022
CID000000007,nan,nan,-0.12632143263949003,nan,nan,-0.16846876331000002
CID044306199,nan,nan,-0.19605846251086,nan,nan,-0.19894044859803
CID011716589,nan,nan,-0.49549239583533,nan,nan,-0.27264516747427
CID025263084,nan,nan,-0.19671302376372002,nan,nan,-0.26329128013266
CID025263085,nan,nan,-0.20943108646386,nan,nan,-0.25255676553795003
CID044532477,nan,nan,-0.21892678762217002,nan,nan,-0.285336530583
CID051354036,nan,nan,-0.20973458422395996,nan,nan,-0.26612402845774
CID044433573,nan,nan,-0.26849493460944995,nan,nan,-0.22428583134660002
CID044526099,nan,nan,-0.25669032074432996,nan,nan,-0.39088202046313003
CID010621826,nan,nan,-0.18113657552342,nan,nan,-0.24749038378533003
CID044532478,nan,nan,-0.21253479776255998,nan,nan,-0.28732492255319003
CID044305879,nan,nan,-0.17600895071262995,nan,nan,-0.21517415012009
CID011682470,nan,nan,-0.43237164029193004,nan,nan,-0.26531444610531996
CID070691776,nan,nan,-0.17596375656033997,nan,nan,-0.22672255975796998
CID011594774,nan,nan,-0.46216085402679996,nan,nan,-0.24836395583795995
CID006918454,nan,nan,-0.15890162678727,nan,nan,-0.20781402416126998
CID044525927,nan,nan,-0.284982083667,nan,nan,-0.41430232832957004
CID071451677,nan,nan,-0.21535305649307995,nan,nan,-0.27720121039479995
CID010186009,nan,nan,-0.21309866528014,nan,nan,-0.38179957774682005
CID009901062,nan,nan,-0.24486658241138004,nan,nan,-0.26965971881571
CID006539609,nan,nan,-0.22460256593560995,nan,nan,-0.24272818994135997
CID006539606,nan,nan,-0.24128219270678003,nan,nan,-0.247962663995
CID006539605,nan,nan,-0.24369115451078,nan,nan,-0.26634341602329004
CID006539602,nan,nan,-0.25747368843949997,nan,nan,-0.26819599997105004
CID044525961,nan,nan,-0.24567467084911004,nan,nan,-0.41073753613854
CID044525960,nan,nan,-0.27877107070626006,nan,nan,-0.42527080231232
CID044525963,nan,nan,-0.24960177289041005,nan,nan,-0.35784448435143
CID044525962,nan,nan,-0.23633774623355,nan,nan,-0.45136577326607
CID044525965,nan,nan,-0.23195570658371994,nan,nan,-0.38529691754503004
CID044525964,nan,nan,-0.30167243094942003,nan,nan,-0.3826823341981
CID044525967,nan,nan,-0.28451782866144004,nan,nan,-0.41400708746462006
CID044525966,nan,nan,-0.24026971790766,nan,nan,-0.37623439237598993
CID044525969,nan,nan,-0.21919900059974004,nan,nan,-0.36918698342245004
CID044305551,nan,nan,-0.13103409931355997,nan,nan,-0.17839001128627002
CID066561090,nan,nan,-0.2769476940907699,nan,nan,-0.30956827468886006
CID019879232,nan,nan,-0.19155573777683005,nan,nan,-0.22341373273883997
CID011224168,nan,nan,-0.20863006003149004,nan,nan,-0.30775438514183007
CID057401867,nan,nan,-0.19346042436104,nan,nan,-0.2322050874988
CID009958299,nan,nan,-0.16795356167134,nan,nan,-0.25055593145850996
CID044592364,nan,nan,-0.22480180212907,nan,nan,-0.39110369088679997
CID044527603,nan,nan,-0.26697100538035,nan,nan,-0.59563443311166
CID053467392,nan,nan,-0.2976461637092,informer,informer,informer
CID044305910,nan,nan,-0.17967677602457,nan,nan,-0.19790326802172004
CID051354327,nan,nan,-0.26478803599007006,nan,nan,-0.28271042336658003
CID005329477,nan,nan,-0.21305754763231005,nan,nan,-0.28422858322008004
CID006539463,nan,nan,-0.26014854829656,nan,nan,-0.19906741411311
CID006539461,nan,nan,-0.25245491813431997,nan,nan,-0.23657779591126005
CID051354328,nan,nan,-0.24342495513129003,nan,nan,-0.27572136803447
CID006539467,nan,nan,-0.26019479372639004,nan,nan,-0.24752981678993996
CID006539465,nan,nan,-0.28095161331193,nan,nan,-0.22133649854983994
CID057396627,nan,nan,-0.17187571024805998,nan,nan,-0.22929096204446
CID044529262,nan,nan,-0.25249081542889,nan,nan,-0.47632170270504004
CID000599038,nan,nan,-0.18957537505191996,nan,nan,-0.196785875332
CID044535870,nan,nan,-0.23687331764626002,nan,nan,-0.23671304831762
CID044529114,nan,nan,-0.25472186559487003,informer,informer,informer
CID010086873,nan,nan,-0.23263137575016,nan,nan,-0.24982353349819994
CID044529385,nan,nan,-0.15775331486299998,nan,nan,-0.21496385169820997
CID049862783,nan,nan,-0.20500721131696004,nan,nan,-0.25535485760776994
CID053466951,nan,nan,-0.27412322577595,nan,nan,-0.28544823774385
CID051357954,nan,nan,-0.23616433523809993,nan,nan,-0.25086502727097
CID006539588,nan,nan,-0.19325634159144,nan,nan,-0.2572615517693
CID045269578,nan,nan,-0.25860918373545994,nan,nan,-0.28359427000373993
CID044525972,nan,nan,-0.23129424381460995,nan,nan,-0.37210127006986005
CID009903786,nan,nan,-0.20405148668943,nan,nan,-0.21227481505343992
CID006539587,nan,nan,-0.21532222625904002,nan,nan,-0.21851473684448997
CID005329481,nan,nan,-0.21549194492067997,nan,nan,-0.24356675630858007
CID006539582,nan,nan,-0.20825897241815997,nan,nan,-0.28909581360109
CID006539480,nan,nan,-0.22960459452733,nan,nan,-0.19694771099062
CID044525932,nan,nan,-0.3219987181218,nan,nan,-0.42090413178189
CID044525933,nan,nan,-0.2801276997385,nan,nan,-0.39982587124474
CID070683337,nan,nan,-0.16867786306419003,nan,nan,-0.20593043362528007
CID044525936,nan,nan,-0.24460991568446,nan,nan,-0.41731354268390997
CID044525937,nan,nan,-0.28370764869565995,nan,nan,-0.40261712626586
CID044525934,nan,nan,-0.33672852523729996,nan,nan,-0.43265622272838
CID044525935,nan,nan,-0.26738173888933003,nan,nan,-0.40336624452533004
CID010358578,nan,nan,-0.21590263033509,nan,nan,-0.22143267580332002
CID044525938,nan,nan,-0.3207273402177,nan,nan,-0.42326041577173
CID044525939,nan,nan,-0.30598258763708996,nan,nan,-0.4252958596549301
CID070683338,nan,nan,-0.18290751204831995,nan,nan,-0.21094548471240998
CID044526068,nan,nan,-0.24493811889824002,nan,nan,-0.26014017828611
CID044591845,nan,nan,-0.19220491675924,nan,nan,-0.39536050674078993
CID044397393,nan,nan,-0.17481546807836001,nan,nan,-0.21191388876434997
CID025263079,nan,nan,-0.21623810971176005,nan,nan,-0.26925429178158
CID011220119,nan,nan,-0.21970647198563995,nan,nan,-0.19350806966432998
CID046214650,nan,nan,-0.20203223535758996,nan,nan,-0.21591981350481995
CID044336144,nan,nan,-0.22123627243476,nan,nan,-0.3015266473152499
CID009836051,nan,nan,-0.24174258254521,nan,nan,-0.23445379007978998
CID044532690,nan,nan,-0.20366070099120998,nan,nan,-0.28485893829759
CID011682680,nan,nan,-0.43359730516004996,nan,nan,-0.28320835783594994
CID006539516,nan,nan,-0.17280689934953997,nan,nan,-0.16985303234763
CID044269265,nan,nan,-0.22586521891398004,nan,nan,-0.30892657767889997
CID010267580,nan,nan,-0.23351736529457,nan,nan,-0.23553471566115997
CID006539513,nan,nan,-0.22623348694783998,nan,nan,-0.20664301036521002
CID006539512,nan,nan,-0.20565666516587,nan,nan,-0.17184332817464
CID044528968,nan,nan,-0.23353119174773995,nan,nan,-0.5668388555569499
CID044578252,nan,nan,-0.21863297526133998,nan,nan,-0.22703067776851996
CID006539519,nan,nan,-0.20641860440343993,nan,nan,-0.19026100321585998
CID051357696,nan,nan,-0.26703371917092994,nan,nan,-0.27131393341427
CID024803957,nan,nan,-0.23584146098727002,informer,informer,informer
CID053469453,nan,nan,-0.30346770528919004,nan,nan,-0.31337929690765
CID044525486,nan,nan,-0.2837786904517,nan,nan,-0.45374599520901004
CID044525485,nan,nan,-0.27387292108262995,nan,nan,-0.42427952616938003
CID000309461,nan,nan,-0.21265208822464998,nan,nan,-0.21622073928715999
CID044397192,nan,nan,-0.12853305536652998,nan,nan,-0.15287318311355003
CID011524582,nan,nan,-0.19020347871956006,nan,nan,-0.25220555221107
CID025033539,nan,nan,-0.21994421478251996,nan,nan,-0.24879214334421004
CID010639924,nan,nan,-0.2969450344681,nan,nan,-0.24451516532513998
CID006263849,nan,nan,-0.20093574746626,nan,nan,-0.19055499989487004
CID056673516,nan,nan,-0.19602948192277997,informer,informer,informer
CID044305594,nan,nan,-0.16817693308956005,nan,nan,-0.21321966252699004
CID011495551,nan,nan,-0.2690456694326,nan,nan,-0.28760045735584
CID022049997,nan,nan,-0.16939789081511,nan,nan,-0.21958069790563
CID018536633,nan,nan,-0.25909063300365,nan,nan,-0.28451874542024996
CID056680318,nan,nan,-0.22923302904431,nan,nan,-0.44704591845099
CID006539394,nan,nan,-0.19810430513243998,nan,nan,-0.45963596276068996
CID006539398,nan,nan,-0.24621496316758004,nan,nan,-0.46587530866437
CID044536075,nan,nan,-0.21758972159438997,nan,nan,-0.22953560075695
CID051356289,nan,nan,-0.24555014336915998,nan,nan,-0.32091448444458004
CID044529229,nan,nan,-0.19398588566543,nan,nan,-0.2649249937474099
CID044532450,nan,nan,-0.18618285891625,nan,nan,-0.27594791465885005
CID011793277,nan,nan,-0.2509165460352599,nan,nan,-0.25744219783015004
CID044529279,nan,nan,-0.27735702389835,nan,nan,-0.5134175207642699
CID024804781,nan,nan,-0.19077294790716004,informer,informer,informer
CID044526078,nan,nan,-0.26689254897407,nan,nan,-0.30520101044116993
CID044532526,nan,nan,-0.18730903788538,nan,nan,-0.30822420553781
CID006539426,nan,nan,-0.24672525946126997,nan,nan,-0.4871108237988299
CID044526072,nan,nan,-0.23273527645338002,nan,nan,-0.27889008177762004
CID044526073,nan,nan,-0.29211027024391,nan,nan,-0.29228384706126
CID044526070,nan,nan,-0.26491623389359203,nan,nan,-0.27929414888774995
CID044526071,nan,nan,-0.27195754973118,nan,nan,-0.28209946419834
CID044526076,nan,nan,-0.2882287056672,nan,nan,-0.31253454007724
CID044526077,nan,nan,-0.26607186681922,nan,nan,-0.29457867533896
CID044526075,nan,nan,-0.24821056989838997,nan,nan,-0.26836905058608007
CID009861063,nan,nan,-0.5091562672164799,nan,nan,-0.25201488160702
